benchmark,case,gap_m,phase_rad,l,m,omega_rad_s,B_amplitude_T,Fx_N,Fy_N,Fz_N,taux_Nm,tauy_Nm,tauz_Nm,joule_power_W,stress_radius_over_a,n_mu,n_phi,static_diffusion_ratio,tau_lag_Nm,diffusion_tau_lag_ratio,volume_Fx_N,volume_Fy_N,volume_Fz_N,relative_error,spectral_weight,note
stress_convergence,,nan,nan,nan,nan,0,nan,6.976840979944221e-15,2.3224918353510066e-14,0.06621227310244036,-9.051783841864088e-17,3.1613228355221014e-17,-4.393999186441703e-17,nan,1.05,12,24,nan,nan,nan,nan,nan,nan,5.384818981387231e-12,nan,static source-free l=1+l=2; exact Fz=mu0 alpha H0 G
stress_convergence,,nan,nan,nan,nan,0,nan,-6.5014589848907955e-15,2.6901156541074556e-15,0.06621227310223048,5.163541808123412e-17,-4.436564231633106e-17,1.9118209457785068e-16,nan,1.2,12,24,nan,nan,nan,nan,nan,nan,2.2049905405407323e-12,nan,static source-free l=1+l=2; exact Fz=mu0 alpha H0 G
stress_convergence,,nan,nan,nan,nan,0,nan,-3.5272247633517245e-14,2.0649228380247193e-14,0.06621227310164529,5.503748776017526e-18,4.007778741581085e-17,-3.5945686131716326e-18,nan,1.5,12,24,nan,nan,nan,nan,nan,nan,6.664231077610273e-12,nan,static source-free l=1+l=2; exact Fz=mu0 alpha H0 G
stress_convergence,,nan,nan,nan,nan,0,nan,1.8693017647024648e-14,9.654428169728838e-15,0.06621227310041577,-4.29120020089711e-16,3.2318182113485246e-16,-2.1508382152759013e-16,nan,2.0,12,24,nan,nan,nan,nan,nan,nan,2.5206897525907263e-11,nan,static source-free l=1+l=2; exact Fz=mu0 alpha H0 G
stress_convergence,,nan,nan,nan,nan,0,nan,4.325661736356151e-15,-1.2399156273110515e-14,0.06621227310236469,-1.2748739707547145e-16,2.4736750191614587e-17,-7.229098849929423e-18,nan,1.05,18,36,nan,nan,nan,nan,nan,nan,4.234073250926412e-12,nan,static source-free l=1+l=2; exact Fz=mu0 alpha H0 G
stress_convergence,,nan,nan,nan,nan,0,nan,-7.26156602296607e-15,-1.718519947454069e-14,0.06621227310232161,1.0958586386971716e-16,5.920240407952812e-17,-3.0406864928420387e-19,nan,1.2,18,36,nan,nan,nan,nan,nan,nan,3.58991621720578e-12,nan,static source-free l=1+l=2; exact Fz=mu0 alpha H0 G
stress_convergence,,nan,nan,nan,nan,0,nan,-1.1019603876312803e-14,1.0713162814347484e-14,0.0662122731020529,9.075847187627746e-17,-2.185158391969903e-17,-1.2171435446423157e-16,nan,1.5,18,36,nan,nan,nan,nan,nan,nan,5.327757901156515e-13,nan,static source-free l=1+l=2; exact Fz=mu0 alpha H0 G
stress_convergence,,nan,nan,nan,nan,0,nan,-3.252010206261646e-14,-1.6850502875762627e-14,0.066212273101797,4.365587047915289e-16,2.1008058218241954e-16,9.36458539541347e-17,nan,2.0,18,36,nan,nan,nan,nan,nan,nan,4.379360204825445e-12,nan,static source-free l=1+l=2; exact Fz=mu0 alpha H0 G
stress_convergence,,nan,nan,nan,nan,0,nan,-8.29072799453899e-15,1.26472522233613e-15,0.0662122731022613,5.501792990177206e-17,-1.1209031836477472e-17,6.504139728398224e-17,nan,1.05,24,48,nan,nan,nan,nan,nan,nan,2.670944861786448e-12,nan,static source-free l=1+l=2; exact Fz=mu0 alpha H0 G
stress_convergence,,nan,nan,nan,nan,0,nan,1.041361702408929e-14,-3.1422264777262532e-15,0.06621227310215191,-7.629552540729056e-18,-3.194050893032373e-18,-7.962649015059866e-17,nan,1.2,24,48,nan,nan,nan,nan,nan,nan,1.0291058544780296e-12,nan,static source-free l=1+l=2; exact Fz=mu0 alpha H0 G
stress_convergence,,nan,nan,nan,nan,0,nan,1.6382402822956747e-14,1.827975651892726e-14,0.06621227310203226,-1.661518773451543e-16,1.82867464995058e-18,-4.194252304829532e-17,nan,1.5,24,48,nan,nan,nan,nan,nan,nan,8.737678306833395e-13,nan,static source-free l=1+l=2; exact Fz=mu0 alpha H0 G
stress_convergence,,nan,nan,nan,nan,0,nan,9.096530342536267e-16,-7.032250725449825e-15,0.06621227310190356,-1.8256211995733048e-16,-3.6545555801003234e-16,-2.4155899325872327e-16,nan,2.0,24,48,nan,nan,nan,nan,nan,nan,2.737106227169321e-12,nan,static source-free l=1+l=2; exact Fz=mu0 alpha H0 G
stress_convergence,,nan,nan,nan,nan,0,nan,5.131104942383792e-15,5.749886227275581e-16,0.06621227310245108,4.537143459098659e-18,3.2940623282158334e-17,4.362928927326407e-18,nan,1.05,32,64,nan,nan,nan,nan,nan,nan,5.534706284013755e-12,nan,static source-free l=1+l=2; exact Fz=mu0 alpha H0 G
stress_convergence,,nan,nan,nan,nan,0,nan,3.58120956121203e-15,2.707801119710974e-15,0.066212273102196,2.409610563789467e-17,-6.228576470029246e-18,1.4861997950415834e-17,nan,1.2,32,64,nan,nan,nan,nan,nan,nan,1.683159874272437e-12,nan,static source-free l=1+l=2; exact Fz=mu0 alpha H0 G
stress_convergence,,nan,nan,nan,nan,0,nan,-7.335002508943598e-16,1.489730544901505e-14,0.06621227310187336,-2.226733844065071e-17,-4.138885627899821e-17,-1.0256414236818616e-17,nan,1.5,32,64,nan,nan,nan,nan,nan,nan,3.199031056892227e-12,nan,static source-free l=1+l=2; exact Fz=mu0 alpha H0 G
stress_convergence,,nan,nan,nan,nan,0,nan,5.142447772338711e-15,-7.488160227139262e-16,0.06621227310174159,-6.329218813184994e-16,1.7078712080598657e-17,1.545625009945454e-16,nan,2.0,32,64,nan,nan,nan,nan,nan,nan,5.1817926817295095e-12,nan,static source-free l=1+l=2; exact Fz=mu0 alpha H0 G
rotating_uniform,,nan,nan,1,nan,20.42,0.01,1.867265137508263e-14,1.7920409276150627e-14,6.4385146960309076e-15,2.5609090774946387e-18,1.1977223718007506e-18,3.4507161001115703e-07,7.046362276178304e-06,1.2,24,48,nan,1.7010484237035234e-05,0.02028581933297627,nan,nan,nan,3.541167004415165e-11,nan,circular phasor B=(x-i y)B0; P_J=Omega*tau_z
rotating_uniform,,nan,nan,1,nan,26.7,0.01,1.5595972277281854e-14,1.5522363989199822e-14,6.1805711407353445e-15,-3.143799793604399e-18,3.081985704414608e-18,4.510594015167187e-07,1.2043286021258334e-05,1.2,24,48,nan,2.213779685831575e-05,0.020375080882351754,nan,nan,nan,6.326723497850206e-11,nan,circular phasor B=(x-i y)B0; P_J=Omega*tau_z
rotating_uniform,,nan,nan,1,nan,34.56,0.01,1.5852960326473355e-14,1.714657735956685e-14,7.442476590390065e-15,-5.326359370205298e-18,-1.231176295808174e-18,5.83556946165303e-07,2.016772805890914e-05,1.2,24,48,nan,2.843814794141151e-05,0.020520216272565985,nan,nan,nan,2.7952262567336565e-11,nan,circular phasor B=(x-i y)B0; P_J=Omega*tau_z
rotating_uniform,,nan,nan,1,nan,53.41,0.01,1.4626725498870322e-14,1.5256904885925562e-14,7.008362887559816e-15,4.25966799736443e-18,-2.1103468900707788e-18,9.003278354471367e-07,4.808650969105708e-05,1.2,24,48,nan,4.2833967574460516e-05,0.021019015665050943,nan,nan,nan,3.628567361610916e-12,nan,circular phasor B=(x-i y)B0; P_J=Omega*tau_z
rotating_uniform,,nan,nan,1,nan,72.26,0.01,1.577134557857141e-14,1.4917058300358412e-14,6.073241901922858e-15,-4.1263908476122965e-18,1.3404950638465044e-18,1.2151688055842832e-06,8.78080978918851e-05,1.2,24,48,nan,5.592424403805003e-05,0.021728837403015202,nan,nan,nan,4.15441570127148e-12,nan,circular phasor B=(x-i y)B0; P_J=Omega*tau_z
rotating_uniform,,nan,nan,1,nan,103.67,0.01,1.817491427472703e-14,1.830095331660023e-14,6.49836646760037e-15,-4.016389248440652e-18,-2.920165110813289e-18,1.733769790088209e-06,0.00017973991413698548,1.2,24,48,nan,7.418041508679112e-05,0.02337233875067459,nan,nan,nan,8.11811049360023e-12,nan,circular phasor B=(x-i y)B0; P_J=Omega*tau_z
rotating_uniform,,nan,nan,1,nan,117.81,0.01,1.8018223343880353e-14,1.5524621629789275e-14,5.680917840094821e-15,-4.191387113543276e-18,-3.3589840897305465e-18,1.9641520067565626e-06,0.00023139674791209972,1.2,24,48,nan,8.084177780446684e-05,0.024296249539121444,nan,nan,nan,1.681493339100551e-11,nan,circular phasor B=(x-i y)B0; P_J=Omega*tau_z
rotating_uniform,,nan,nan,1,nan,20.42,0.02,7.469060550033052e-14,7.168163710460251e-14,2.575405878412363e-14,1.0243636309978555e-17,4.790889487203002e-18,1.3802864400446281e-06,2.8185449104713215e-05,1.2,24,48,nan,6.804193694814093e-05,0.02028581933297627,nan,nan,nan,3.541167004415165e-11,nan,circular phasor B=(x-i y)B0; P_J=Omega*tau_z
rotating_uniform,,nan,nan,1,nan,26.7,0.02,6.238388910912742e-14,6.208945595679929e-14,2.4722284562941378e-14,-1.2575199174417596e-17,1.2327942817658431e-17,1.8042376060668748e-06,4.8173144085033334e-05,1.2,24,48,nan,8.8551187433263e-05,0.020375080882351754,nan,nan,nan,6.326723497850206e-11,nan,circular phasor B=(x-i y)B0; P_J=Omega*tau_z
rotating_uniform,,nan,nan,1,nan,34.56,0.02,6.341184130589342e-14,6.85863094382674e-14,2.976990636156026e-14,-2.1305437480821192e-17,-4.924705183232696e-18,2.334227784661212e-06,8.067091223563656e-05,1.2,24,48,nan,0.00011375259176564604,0.020520216272565985,nan,nan,nan,2.7952262567336565e-11,nan,circular phasor B=(x-i y)B0; P_J=Omega*tau_z
rotating_uniform,,nan,nan,1,nan,53.41,0.02,5.850690199548129e-14,6.102761954370225e-14,2.8033451550239265e-14,1.703867198945772e-17,-8.441387560283115e-18,3.6013113417885467e-06,0.00019234603876422832,1.2,24,48,nan,0.00017133587029784206,0.021019015665050943,nan,nan,nan,3.628567361610916e-12,nan,circular phasor B=(x-i y)B0; P_J=Omega*tau_z
rotating_uniform,,nan,nan,1,nan,72.26,0.02,6.308538231428564e-14,5.966823320143365e-14,2.429296760769143e-14,-1.6505563390449186e-17,5.3619802553860176e-18,4.860675222337133e-06,0.0003512323915675404,1.2,24,48,nan,0.00022369697615220012,0.021728837403015202,nan,nan,nan,4.15441570127148e-12,nan,circular phasor B=(x-i y)B0; P_J=Omega*tau_z
rotating_uniform,,nan,nan,1,nan,103.67,0.02,7.269965709890813e-14,7.320381326640092e-14,2.599346587040148e-14,-1.606555699376261e-17,-1.1680660443253157e-17,6.935079160352836e-06,0.0007189596565479419,1.2,24,48,nan,0.0002967216603471645,0.02337233875067459,nan,nan,nan,8.11811049360023e-12,nan,circular phasor B=(x-i y)B0; P_J=Omega*tau_z
rotating_uniform,,nan,nan,1,nan,117.81,0.02,7.207289337552141e-14,6.20984865191571e-14,2.2723671360379283e-14,-1.6765548454173105e-17,-1.3435936358922186e-17,7.85660802702625e-06,0.0009255869916483989,1.2,24,48,nan,0.00032336711121786735,0.024296249539121444,nan,nan,nan,1.681493339100551e-11,nan,circular phasor B=(x-i y)B0; P_J=Omega*tau_z
rotating_uniform,,nan,nan,1,nan,20.42,0.03,1.3925741985200196e-13,1.401572842029402e-13,6.018140629934776e-14,-4.699737306306471e-17,-3.8419926596328234e-17,3.1056444897555816e-06,6.341726048560472e-05,1.2,24,48,nan,0.00015309435813331708,0.02028581933297627,nan,nan,nan,7.562202691784227e-11,nan,circular phasor B=(x-i y)B0; P_J=Omega*tau_z
rotating_uniform,,nan,nan,1,nan,26.7,0.03,1.5879987432578522e-13,1.3213814366453203e-13,5.782363588055679e-14,-1.3425534355924178e-17,-3.751557809763498e-17,4.059534613730443e-06,0.000108389574191325,1.2,24,48,nan,0.0001992401717248417,0.020375080882351758,nan,nan,nan,4.3566688354079494e-11,nan,circular phasor B=(x-i y)B0; P_J=Omega*tau_z
rotating_uniform,,nan,nan,1,nan,34.56,0.03,1.4311633170607015e-13,1.128911652523932e-13,5.3113265332084894e-14,-4.2784966702082745e-17,-3.2406999763218485e-17,5.25201251508898e-06,0.0001815095525301822,1.2,24,48,nan,0.0002559433314727036,0.020520216272565978,nan,nan,nan,4.797014192740754e-11,nan,circular phasor B=(x-i y)B0; P_J=Omega*tau_z
