benchmark,case,B0_T,mean_B_T,Omega_rad_s,omega_disc_rad_s,tau_lag_s,loop_area_J_m3_cycle,apparent_Hc_A_m,apparent_Mr_A_m,apparent_Mr_over_Ms,peak_M_A_m,differential_susceptibility,mean_torque_Nm,mean_radial_torque_Nm,mechanical_power_W,loss_power_W,energy_per_cycle_J,energy_density_J_m3_cycle,eddy_loss_reference_J_m3_cycle,ratio_to_eddy,Hc_illustrative_A_m,Mr_over_Ms_illustrative,note
linear_tau_lag,,0.005,nan,0.01,nan,0.004,0.0074999999880000015,0.15915494296457144,0.47746482851174243,2.8086166383043675e-07,11936.620722342857,2.9999999952000005,nan,nan,nan,1.0799999982720002e-11,6.7858401208966095e-09,0.0074999999880000015,0.0001467525979900768,51.10642053851163,nan,nan,"Hc and Mr are dynamic intercepts, not quasistatic material properties"
circular_tau_lag,,0.005,nan,0.01,nan,0.004,nan,nan,nan,nan,nan,nan,2.159999996544e-09,nan,2.159999996544e-11,2.159999996544e-11,1.3571680241793219e-08,0.014999999976000003,0.0002935051959801536,51.10642053851163,nan,nan,circular field: P_loss=Omega*tau and E_cycle=2pi*tau
linear_tau_lag,,0.005,nan,20.42,nan,0.004,15.213501264183446,323.9156684998248,968.5215711718378,0.0005697185712775516,11897.000557045474,2.9801177794678635,nan,nan,nan,4.473499619730614e-05,1.376485165639807e-05,15.213501264183446,0.29954132812407774,50.78932299412661,nan,nan,"Hc and Mr are dynamic intercepts, not quasistatic material properties"
circular_tau_lag,,0.005,nan,20.42,nan,0.004,nan,nan,nan,nan,nan,nan,4.381488364084832e-06,nan,8.946999239461228e-05,8.946999239461228e-05,2.752970331279614e-05,30.42700252836689,0.5990826562481554,50.78932299412662,nan,nan,circular field: P_loss=Omega*tau and E_cycle=2pi*tau
linear_tau_lag,,0.005,nan,26.7,nan,0.004,19.7991659612462,422.5407303431054,1260.4540527316522,0.0007414435604303836,11869.121638851275,2.966167185205423,nan,nan,nan,7.612383328779939e-05,1.791386332734417e-05,19.7991659612462,0.39154461939692364,50.566819157780415,nan,nan,"Hc and Mr are dynamic intercepts, not quasistatic material properties"
circular_tau_lag,,0.005,nan,26.7,nan,0.004,nan,nan,nan,nan,nan,nan,5.702159796838905e-06,nan,0.00015224766657559878,0.00015224766657559878,3.582772665468835e-05,39.598331922492406,0.7830892387938473,50.56681915778042,nan,nan,circular field: P_loss=Omega*tau and E_cycle=2pi*tau
linear_tau_lag,,0.005,nan,34.56,nan,0.004,25.433949652987987,544.8579229339064,1619.1755238493736,0.0009524561904996315,11824.173674780952,2.9437441727995353,nan,nan,nan,0.00012657561120104615,2.3012095501900722e-05,25.433949652987987,0.5065598490876662,50.209170148000304,nan,nan,"Hc and Mr are dynamic intercepts, not quasistatic material properties"
circular_tau_lag,,0.005,nan,34.56,nan,0.004,nan,nan,nan,nan,nan,nan,7.3249775000605394e-06,nan,0.00025315122240209226,0.00025315122240209226,4.602419100380144e-05,50.86789930597597,1.013119698175332,50.20917014800031,nan,nan,circular field: P_loss=Omega*tau and E_cycle=2pi*tau
linear_tau_lag,,0.005,nan,53.41,nan,0.004,38.30899877766354,831.2873844973423,2438.8266081466118,0.0014346038871450657,11673.198621475505,2.869050648018239,nan,nan,nan,0.00029463604195896135,3.4661165508370984e-05,38.30899877766354,0.7815345793783592,49.017663182779344,nan,nan,"Hc and Mr are dynamic intercepts, not quasistatic material properties"
circular_tau_lag,,0.005,nan,53.41,nan,0.004,nan,nan,nan,nan,nan,nan,1.1032991647967097e-05,nan,0.0005892720839179226,0.0005892720839179226,6.932233101674196e-05,76.61799755532707,1.5630691587567185,49.01766318277934,nan,nan,circular field: P_loss=Omega*tau and E_cycle=2pi*tau
linear_tau_lag,,0.005,nan,72.26,nan,0.004,50.01642196163986,1104.8282964310154,3184.1443163860067,0.001873026068462357,11467.218687008879,2.768692054339322,nan,nan,nan,0.0005204428777365259,4.525379245253807e-05,50.01642196163986,1.0548340326296284,47.416390080771635,nan,nan,"Hc and Mr are dynamic intercepts, not quasistatic material properties"
circular_tau_lag,,0.005,nan,72.26,nan,0.004,nan,nan,nan,nan,nan,nan,1.4404729524952278e-05,nan,0.0010408857554730516,0.0010408857554730516,9.050758490507613e-05,100.03284392327971,2.1096680652592563,47.41639008077165,nan,nan,circular field: P_loss=Omega*tau and E_cycle=2pi*tau
linear_tau_lag,,0.005,nan,103.67,nan,0.004,66.34401601827909,1524.1121591295641,4223.591237550801,0.0024844654338534128,11026.180373754923,2.5598154150006405,nan,nan,nan,0.000990415316248559,6.0026651519808716e-05,66.34401601827909,1.5050084983282417,44.0821537499448,nan,nan,"Hc and Mr are dynamic intercepts, not quasistatic material properties"
circular_tau_lag,,0.005,nan,103.67,nan,0.004,nan,nan,nan,nan,nan,nan,1.9107076613264376e-05,nan,0.001980830632497118,0.001980830632497118,0.00012005330303961742,132.68803203655818,3.0100169966564834,44.0821537499448,nan,nan,circular field: P_loss=Omega*tau and E_cycle=2pi*tau
linear_tau_lag,,0.005,nan,117.81,nan,0.004,72.301674172766,1696.1128903452786,4602.867535366133,0.0027075691384506662,10797.764771742288,2.454856945005212,nan,nan,nan,0.0012265718737382728,6.54170136259405e-05,72.301674172766,1.7049930613919582,42.40584657496426,nan,nan,"Hc and Mr are dynamic intercepts, not quasistatic material properties"
circular_tau_lag,,0.005,nan,117.81,nan,0.004,nan,nan,nan,nan,nan,nan,2.082288216175661e-05,nan,0.002453143747476546,0.002453143747476546,0.00013083402725188104,144.60334834553203,3.409986122783916,42.40584657496427,nan,nan,circular field: P_loss=Omega*tau and E_cycle=2pi*tau
linear_tau_lag,,0.01,nan,0.01,nan,0.004,0.029999999952000006,0.3183098859291429,0.9549296570234849,5.617233276608735e-07,23873.241444685715,2.9999999952000005,nan,nan,nan,4.319999993088001e-11,2.7143360483586438e-08,0.029999999952000006,0.0005870103919603072,51.10642053851163,nan,nan,"Hc and Mr are dynamic intercepts, not quasistatic material properties"
circular_tau_lag,,0.01,nan,0.01,nan,0.004,nan,nan,nan,nan,nan,nan,8.639999986176e-09,nan,8.639999986176e-11,8.639999986176e-11,5.4286720967172876e-08,0.05999999990400001,0.0011740207839206144,51.10642053851163,nan,nan,circular field: P_loss=Omega*tau and E_cycle=2pi*tau
linear_tau_lag,,0.01,nan,20.42,nan,0.004,60.85400505673378,647.8313369996496,1937.0431423436755,0.0011394371425551032,23794.00111409095,2.9801177794678635,nan,nan,nan,0.00017893998478922456,5.505940662559228e-05,60.85400505673378,1.198165312496311,50.78932299412661,nan,nan,"Hc and Mr are dynamic intercepts, not quasistatic material properties"
circular_tau_lag,,0.01,nan,20.42,nan,0.004,nan,nan,nan,nan,nan,nan,1.752595345633933e-05,nan,0.0003578799695784491,0.0003578799695784491,0.00011011881325118455,121.70801011346757,2.3963306249926215,50.78932299412662,nan,nan,circular field: P_loss=Omega*tau and E_cycle=2pi*tau
linear_tau_lag,,0.01,nan,26.7,nan,0.004,79.1966638449848,845.0814606862108,2520.9081054633043,0.0014828871208607671,23738.24327770255,2.966167185205423,nan,nan,nan,0.00030449533315119755,7.165545330937668e-05,79.1966638449848,1.5661784775876946,50.566819157780415,nan,nan,"Hc and Mr are dynamic intercepts, not quasistatic material properties"
circular_tau_lag,,0.01,nan,26.7,nan,0.004,nan,nan,nan,nan,nan,nan,2.280863918735562e-05,nan,0.0006089906663023951,0.0006089906663023951,0.0001433109066187534,158.39332768996962,3.132356955175389,50.56681915778042,nan,nan,circular field: P_loss=Omega*tau and E_cycle=2pi*tau
linear_tau_lag,,0.01,nan,34.56,nan,0.004,101.73579861195195,1089.7158458678127,3238.351047698747,0.001904912380999263,23648.347349561904,2.9437441727995353,nan,nan,nan,0.0005063024448041846,9.204838200760289e-05,101.73579861195195,2.0262393963506646,50.209170148000304,nan,nan,"Hc and Mr are dynamic intercepts, not quasistatic material properties"
circular_tau_lag,,0.01,nan,34.56,nan,0.004,nan,nan,nan,nan,nan,nan,2.9299910000242158e-05,nan,0.001012604889608369,0.001012604889608369,0.00018409676401520575,203.47159722390387,4.052478792701328,50.20917014800031,nan,nan,circular field: P_loss=Omega*tau and E_cycle=2pi*tau
linear_tau_lag,,0.01,nan,53.41,nan,0.004,153.23599511065416,1662.5747689946845,4877.6532162932235,0.0028692077742901315,23346.39724295101,2.869050648018239,nan,nan,nan,0.0011785441678358454,0.00013864466203348394,153.23599511065416,3.126138317513437,49.017663182779344,nan,nan,"Hc and Mr are dynamic intercepts, not quasistatic material properties"
circular_tau_lag,,0.01,nan,53.41,nan,0.004,nan,nan,nan,nan,nan,nan,4.413196659186839e-05,nan,0.0023570883356716903,0.0023570883356716903,0.0002772893240669678,306.47199022130826,6.252276635026874,49.01766318277934,nan,nan,circular field: P_loss=Omega*tau and E_cycle=2pi*tau
linear_tau_lag,,0.01,nan,72.26,nan,0.004,200.06568784655943,2209.6565928620307,6368.288632772013,0.003746052136924714,22934.437374017758,2.768692054339322,nan,nan,nan,0.0020817715109461036,0.00018101516981015227,200.06568784655943,4.2193361305185135,47.416390080771635,nan,nan,"Hc and Mr are dynamic intercepts, not quasistatic material properties"
circular_tau_lag,,0.01,nan,72.26,nan,0.004,nan,nan,nan,nan,nan,nan,5.761891809980911e-05,nan,0.004163543021892206,0.004163543021892206,0.00036203033962030454,400.13137569311885,8.438672261037025,47.41639008077165,nan,nan,circular field: P_loss=Omega*tau and E_cycle=2pi*tau
linear_tau_lag,,0.01,nan,103.67,nan,0.004,265.37606407311637,3048.2243182591283,8447.182475101603,0.0049689308677068255,22052.360747509847,2.5598154150006405,nan,nan,nan,0.003961661264994236,0.00024010660607923486,265.37606407311637,6.020033993312967,44.0821537499448,nan,nan,"Hc and Mr are dynamic intercepts, not quasistatic material properties"
circular_tau_lag,,0.01,nan,103.67,nan,0.004,nan,nan,nan,nan,nan,nan,7.64283064530575e-05,nan,0.007923322529988472,0.007923322529988472,0.00048021321215846967,530.7521281462327,12.040067986625933,44.0821537499448,nan,nan,circular field: P_loss=Omega*tau and E_cycle=2pi*tau
linear_tau_lag,,0.01,nan,117.81,nan,0.004,289.206696691064,3392.2257806905573,9205.735070732266,0.0054151382769013325,21595.529543484576,2.454856945005212,nan,nan,nan,0.004906287494953091,0.000261668054503762,289.206696691064,6.819972245567833,42.40584657496426,nan,nan,"Hc and Mr are dynamic intercepts, not quasistatic material properties"
circular_tau_lag,,0.01,nan,117.81,nan,0.004,nan,nan,nan,nan,nan,nan,8.329152864702644e-05,nan,0.009812574989906184,0.009812574989906184,0.0005233361090075241,578.4133933821281,13.639944491135664,42.40584657496427,nan,nan,circular field: P_loss=Omega*tau and E_cycle=2pi*tau
linear_tau_lag,,0.02,nan,0.01,nan,0.004,0.11999999980800002,0.6366197718582858,1.9098593140469697,1.123446655321747e-06,47746.48288937143,2.9999999952000005,nan,nan,nan,1.7279999972352004e-10,1.0857344193434575e-07,0.11999999980800002,0.002348041567841229,51.10642053851163,nan,nan,"Hc and Mr are dynamic intercepts, not quasistatic material properties"
circular_tau_lag,,0.02,nan,0.01,nan,0.004,nan,nan,nan,nan,nan,nan,3.4559999944704e-08,nan,3.4559999944704e-10,3.4559999944704e-10,2.171468838686915e-07,0.23999999961600005,0.004696083135682458,51.10642053851163,nan,nan,circular field: P_loss=Omega*tau and E_cycle=2pi*tau
linear_tau_lag,,0.02,nan,20.42,nan,0.004,243.41602022693513,1295.6626739992992,3874.086284687351,0.0022788742851102065,47588.0022281819,2.9801177794678635,nan,nan,nan,0.0007157599391568982,0.0002202376265023691,243.41602022693513,4.792661249985244,50.78932299412661,nan,nan,"Hc and Mr are dynamic intercepts, not quasistatic material properties"
circular_tau_lag,,0.02,nan,20.42,nan,0.004,nan,nan,nan,nan,nan,nan,7.010381382535731e-05,nan,0.0014315198783137965,0.0014315198783137965,0.0004404752530047382,486.83204045387026,9.585322499970486,50.78932299412662,nan,nan,circular field: P_loss=Omega*tau and E_cycle=2pi*tau
linear_tau_lag,,0.02,nan,26.7,nan,0.004,316.7866553799392,1690.1629213724216,5041.816210926609,0.0029657742417215343,47476.4865554051,2.966167185205423,nan,nan,nan,0.0012179813326047902,0.0002866218132375067,316.7866553799392,6.264713910350778,50.566819157780415,nan,nan,"Hc and Mr are dynamic intercepts, not quasistatic material properties"
circular_tau_lag,,0.02,nan,26.7,nan,0.004,nan,nan,nan,nan,nan,nan,9.123455674942249e-05,nan,0.0024359626652095804,0.0024359626652095804,0.0005732436264750135,633.5733107598785,12.529427820701557,50.56681915778042,nan,nan,circular field: P_loss=Omega*tau and E_cycle=2pi*tau
linear_tau_lag,,0.02,nan,34.56,nan,0.004,406.9431944478078,2179.4316917356255,6476.702095397494,0.003809824761998526,47296.69469912381,2.9437441727995353,nan,nan,nan,0.0020252097792167385,0.00036819352803041155,406.9431944478078,8.104957585402659,50.209170148000304,nan,nan,"Hc and Mr are dynamic intercepts, not quasistatic material properties"
circular_tau_lag,,0.02,nan,34.56,nan,0.004,nan,nan,nan,nan,nan,nan,0.00011719964000096863,nan,0.004050419558433476,0.004050419558433476,0.000736387056060823,813.8863888956155,16.209915170805314,50.20917014800031,nan,nan,circular field: P_loss=Omega*tau and E_cycle=2pi*tau
linear_tau_lag,,0.02,nan,53.41,nan,0.004,612.9439804426166,3325.149537989369,9755.306432586447,0.005738415548580263,46692.79448590202,2.869050648018239,nan,nan,nan,0.0047141766713433815,0.0005545786481339358,612.9439804426166,12.504553270053748,49.017663182779344,nan,nan,"Hc and Mr are dynamic intercepts, not quasistatic material properties"
circular_tau_lag,,0.02,nan,53.41,nan,0.004,nan,nan,nan,nan,nan,nan,0.00017652786636747356,nan,0.009428353342686761,0.009428353342686761,0.0011091572962678713,1225.887960885233,25.009106540107496,49.01766318277934,nan,nan,circular field: P_loss=Omega*tau and E_cycle=2pi*tau
linear_tau_lag,,0.02,nan,72.26,nan,0.004,800.2627513862377,4419.313185724061,12736.577265544027,0.007492104273849428,45868.874748035516,2.768692054339322,nan,nan,nan,0.008327086043784414,0.0007240606792406091,800.2627513862377,16.877344522074054,47.416390080771635,nan,nan,"Hc and Mr are dynamic intercepts, not quasistatic material properties"
circular_tau_lag,,0.02,nan,72.26,nan,0.004,nan,nan,nan,nan,nan,nan,0.00023047567239923645,nan,0.016654172087568826,0.016654172087568826,0.0014481213584812181,1600.5255027724754,33.7546890441481,47.41639008077165,nan,nan,circular field: P_loss=Omega*tau and E_cycle=2pi*tau
linear_tau_lag,,0.02,nan,103.67,nan,0.004,1061.5042562924655,6096.4486365182565,16894.364950203206,0.009937861735413651,44104.721495019694,2.5598154150006405,nan,nan,nan,0.015846645059976943,0.0009604264243169395,1061.5042562924655,24.080135973251867,44.0821537499448,nan,nan,"Hc and Mr are dynamic intercepts, not quasistatic material properties"
circular_tau_lag,,0.02,nan,103.67,nan,0.004,nan,nan,nan,nan,nan,nan,0.00030571322581223,nan,0.031693290119953886,0.031693290119953886,0.0019208528486338787,2123.008512584931,48.160271946503734,44.0821537499448,nan,nan,circular field: P_loss=Omega*tau and E_cycle=2pi*tau
linear_tau_lag,,0.02,nan,117.81,nan,0.004,1156.826786764256,6784.4515613811145,18411.47014146453,0.010830276553802665,43191.05908696915,2.454856945005212,nan,nan,nan,0.019625149979812365,0.001046672218015048,1156.826786764256,27.27988898227133,42.40584657496426,nan,nan,"Hc and Mr are dynamic intercepts, not quasistatic material properties"
circular_tau_lag,,0.02,nan,117.81,nan,0.004,nan,nan,nan,nan,nan,nan,0.00033316611458810574,nan,0.039250299959624736,0.039250299959624736,0.0020933444360300966,2313.6535735285124,54.559777964542654,42.40584657496427,nan,nan,circular field: P_loss=Omega*tau and E_cycle=2pi*tau
linear_tau_lag,,0.03,nan,0.01,nan,0.004,0.26999999956799997,0.9549296577874284,2.864788971070454,1.6851699829826202e-06,71619.72433405713,2.9999999952000005,nan,nan,nan,3.8879999937791995e-10,2.442902443522779e-07,0.26999999956799997,0.0052830935276427645,51.106420538511614,nan,nan,"Hc and Mr are dynamic intercepts, not quasistatic material properties"
circular_tau_lag,,0.03,nan,0.01,nan,0.004,nan,nan,nan,nan,nan,nan,7.775999987558398e-08,nan,7.775999987558398e-10,7.775999987558398e-10,4.885804887045557e-07,0.5399999991359998,0.010566187055285529,51.10642053851161,nan,nan,circular field: P_loss=Omega*tau and E_cycle=2pi*tau
