section,mesh,n_cells,parameter_set,field_history,gap_m,phase_rad,H_ext_A_m,mean_H_int_A_m,mean_M_A_m,total_moment_Am2,force_N,Fz_N,torque_Nm,loop_loss_J_m3,remanence_A_m,coercivity_A_m,angle_lag_deg,spatial_H_rms_A_m,spatial_M_rms_A_m,iterations,residual,runtime_s,represented_volume_m3,volume_error,surface_error_scale,relative_error,converged,note
uniform_demag,coarse,32,,,nan,nan,nan,-33333.333333333314,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.081822403658446e-11,nan,nan,nan,0.1719816870172508,8.64e-07,0.045070341448627885,0.4330127018922193,7.78606058170262e-16,,"target Hdemag_z=-33333.333 A/m; raw spectrum=(-3.2053717800457875, 9.792495178548075e-16)"
linear_sphere,coarse,32,mu_r=10,,nan,nan,1000.0,nan,2250.000000000001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.135925367070611e-16,,exact 3(mu_r-1)/(mu_r+2) Hext
linear_sphere,coarse,32,mu_r=50,,nan,nan,1000.0,nan,2826.9230769230767,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.253797661647239e-16,,exact 3(mu_r-1)/(mu_r+2) Hext
linear_sphere,coarse,32,mu_r=100,,nan,nan,1000.0,nan,2911.7647058823554,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0227809475917535e-15,,exact 3(mu_r-1)/(mu_r+2) Hext
linear_sphere,coarse,32,mu_r=500,,nan,nan,1000.0,nan,2982.0717131474125,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8.686355776823172e-16,,exact 3(mu_r-1)/(mu_r+2) Hext
nonuniform_refinement,coarse,32,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,883.57293382213,nan,nan,nan,37500.00000000003,nan,nan,nan,nan,nan,nan,nan,nan,,zero-mean Mz proportional to body z; energy diagnostic
uniform_demag,medium,179,,,nan,nan,nan,-33333.33333333336,nan,nan,nan,nan,nan,nan,nan,nan,nan,9.320898434720875e-11,nan,nan,nan,8.472085416986374,9.017842565597671e-07,0.0033095692087716346,0.24743582965269675,7.006736282139623e-16,,"target Hdemag_z=-33333.333 A/m; raw spectrum=(-0.9474730664014324, -0.014474686064955404)"
linear_sphere,medium,179,mu_r=10,,nan,nan,1000.0,nan,2250.000000000001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.499141983160175e-16,,exact 3(mu_r-1)/(mu_r+2) Hext
linear_sphere,medium,179,mu_r=50,,nan,nan,1000.0,nan,2826.9230769230853,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.9066587036693423e-15,,exact 3(mu_r-1)/(mu_r+2) Hext
linear_sphere,medium,179,mu_r=100,,nan,nan,1000.0,nan,2911.764705882355,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8.165095346842738e-16,,exact 3(mu_r-1)/(mu_r+2) Hext
linear_sphere,medium,179,mu_r=500,,nan,nan,1000.0,nan,2982.071713147414,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.2441257256835394e-15,,exact 3(mu_r-1)/(mu_r+2) Hext
nonuniform_refinement,medium,179,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,706.8599430470687,nan,nan,nan,27536.943534660266,nan,nan,nan,nan,nan,nan,nan,nan,,zero-mean Mz proportional to body z; energy diagnostic
uniform_demag,fine,389,,,nan,nan,nan,-33333.333333333525,nan,nan,nan,nan,nan,nan,nan,nan,nan,9.088750389864559e-11,nan,nan,nan,20.8807268620003,9.220740740740741e-07,0.019115602678967784,0.19245008972987523,5.698248510147126e-15,,"target Hdemag_z=-33333.333 A/m; raw spectrum=(-0.9662640983820224, -0.009196382292606258)"
linear_sphere,fine,389,mu_r=10,,nan,nan,1000.0,nan,2249.999999999995,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.255483533350602e-15,,exact 3(mu_r-1)/(mu_r+2) Hext
linear_sphere,fine,389,mu_r=50,,nan,nan,1000.0,nan,2826.9230769230835,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.30450446613726e-15,,exact 3(mu_r-1)/(mu_r+2) Hext
linear_sphere,fine,389,mu_r=100,,nan,nan,1000.0,nan,2911.764705882365,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.24782127169715e-15,,exact 3(mu_r-1)/(mu_r+2) Hext
linear_sphere,fine,389,mu_r=500,,nan,nan,1000.0,nan,2982.071713147403,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.4925882077673853e-15,,exact 3(mu_r-1)/(mu_r+2) Hext
nonuniform_refinement,fine,389,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,717.1875761095549,nan,nan,nan,27919.91675242161,nan,nan,nan,nan,nan,nan,nan,nan,,zero-mean Mz proportional to body z; energy diagnostic
step4b_bridge,medium,179,mu_r=100,,nan,nan,nan,nan,nan,0.0026385292190111314,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8.165095346842738e-16,,independent homogeneous linear surface-charge BEM
linear_carousel_bridge,medium,179,mu_r=100,new_volume_force,0.003,nan,nan,nan,nan,0.11141264127094776,2.303190117156733,-2.303168282403515,1.494681416840482e-06,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0885316209874314,True,zero-hysteresis actual FieldGrid bridge
linear_carousel_bridge,medium,179,mu_r=100,new_Maxwell_stress,0.003,nan,nan,nan,nan,0.11141264127094776,2.370826479095745,-2.370804082513588,5.640956262951404e-06,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.12049789444347614,True,zero-hysteresis actual FieldGrid bridge
linear_carousel_bridge,medium,179,mu_r=100,Step4B_surface_BEM,0.003,nan,nan,nan,nan,0.11155200298374664,2.1158713435988568,-2.1158487617605997,2.9115880727369197e-06,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,True,zero-hysteresis actual FieldGrid bridge
linear_carousel_bridge,medium,179,mu_r=100,new_volume_force,0.005,nan,nan,nan,nan,0.07425134911948011,0.8365440988464727,-0.8365255717370103,9.772757221953588e-07,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.10680332856820321,True,zero-hysteresis actual FieldGrid bridge
linear_carousel_bridge,medium,179,mu_r=100,new_Maxwell_stress,0.005,nan,nan,nan,nan,0.07425134911948011,0.8203814058631208,-0.8203630901870655,1.4648773968791024e-06,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.08541881985527067,True,zero-hysteresis actual FieldGrid bridge
linear_carousel_bridge,medium,179,mu_r=100,Step4B_surface_BEM,0.005,nan,nan,nan,nan,0.07439810128776173,0.7558222617858016,-0.7558032670710947,1.3442306087130207e-06,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,True,zero-hysteresis actual FieldGrid bridge
linear_carousel_bridge,medium,179,mu_r=100,new_volume_force,0.008,nan,nan,nan,nan,0.043167795959003524,0.21953439197345528,-0.219523719935788,5.497752746333293e-07,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.08350147774959625,True,zero-hysteresis actual FieldGrid bridge
linear_carousel_bridge,medium,179,mu_r=100,new_Maxwell_stress,0.008,nan,nan,nan,nan,0.043167795959003524,0.21459092205852606,-0.21458106077043923,2.8312093354664505e-07,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.05910603423563582,True,zero-hysteresis actual FieldGrid bridge
linear_carousel_bridge,medium,179,mu_r=100,Step4B_surface_BEM,0.008,nan,nan,nan,nan,0.043285276123647486,0.2026164131680932,-0.20260583344263908,5.257290331048299e-07,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,True,zero-hysteresis actual FieldGrid bridge
linear_carousel_bridge,medium,179,mu_r=100,new_volume_force,0.016,nan,nan,nan,nan,0.012960370813073831,0.01359661538363978,-0.013596456122744943,1.0794969644881856e-07,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.04009670045086684,True,zero-hysteresis actual FieldGrid bridge
linear_carousel_bridge,medium,179,mu_r=100,new_Maxwell_stress,0.016,nan,nan,nan,nan,0.012960370813073831,0.013460570517560366,-0.013460530500702277,4.739665260365084e-08,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.029698712201796058,True,zero-hysteresis actual FieldGrid bridge
linear_carousel_bridge,medium,179,mu_r=100,Step4B_surface_BEM,0.016,nan,nan,nan,nan,0.013004629774297624,0.013072425164593301,-0.013072300024460299,7.422486186053165e-08,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,True,zero-hysteresis actual FieldGrid bridge
uniform_loop,coarse,32,synthetic_medium,intrinsic_bare_JA,nan,nan,11936.62073189215,nan,711214.3419198402,nan,nan,nan,nan,1122.4448607745712,23982.596018819324,321.1526782328843,nan,nan,nan,0,0,0,nan,nan,nan,nan,True,
uniform_loop,coarse,32,synthetic_medium,whole_sphere_JA_demag,nan,nan,11936.62073189215,nan,33667.67517240119,nan,nan,nan,nan,34.02450860071983,723.7633544478001,252.60096310248852,nan,nan,nan,18,4.830294966542578e-11,11.75036474497756,nan,nan,nan,nan,True,
rotating_uniform,coarse,32,synthetic_soft,two circular cycles,nan,nan,2000.0,nan,5816.948335529288,0.005025843361897305,nan,nan,1.0013151346162452e-07,0.7096050199415094,nan,nan,0.4542022475840535,nan,nan,16,1.0082456157622937e-08,35.341213536972646,nan,nan,nan,nan,True,
rotating_uniform,coarse,32,synthetic_medium,two circular cycles,nan,nan,2000.0,nan,5085.301092043854,0.0043937001435258895,nan,nan,5.094491704515654e-07,3.426059357805802,nan,nan,3.6094383324597645,nan,nan,22,4.8453372239872005e-08,2.685064435005188,nan,nan,nan,nan,True,
rotating_uniform,coarse,32,synthetic_hard,two circular cycles,nan,nan,2000.0,nan,3941.1347631660096,0.0034051404353754324,nan,nan,3.3427561141646806e-07,2.8459471172956743,nan,nan,5.97474385454533,nan,nan,15,6.28385155989615e-08,1.4517326439963654,nan,nan,nan,nan,True,
carousel_history,coarse,32,synthetic_medium,ramp+two rotor field periods,0.003,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7,nan,9.524412307015155,nan,nan,nan,nan,False,step 1/64: JA+demag iteration failed: residual=5.156e+00
carousel_history,coarse,32,synthetic_medium,ramp+two rotor field periods,0.005,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7,nan,11.625472252984764,nan,nan,nan,nan,False,step 1/64: JA+demag iteration failed: residual=7.499e+00
carousel_history,coarse,32,synthetic_medium,ramp+two rotor field periods,0.008,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,112,nan,4.977991871011909,nan,nan,nan,nan,False,step 2/64: JA+demag iteration failed: residual=1.222e+01
carousel_history,coarse,32,synthetic_medium,ramp+two rotor field periods,0.016,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,77,nan,15.630190244002733,nan,nan,nan,nan,False,step 20/64: JA+demag iteration failed: residual=3.100e-03
carousel_history,coarse,32,synthetic_soft,ramp+two rotor field periods,0.008,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7,nan,75.82028492898098,nan,nan,nan,nan,False,step 1/64: JA+demag iteration failed: residual=6.495e+01
carousel_history,coarse,32,synthetic_hard,ramp+two rotor field periods,0.008,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,79,nan,12.274105388001772,nan,nan,nan,nan,False,step 14/64: JA+demag iteration failed: residual=9.722e-01
performance,coarse,32,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.1719816870172508,nan,nan,nan,nan,,operator memory=0.070 MiB
performance,medium,179,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8.472085416986374,nan,nan,nan,nan,,operator memory=2.200 MiB
performance,fine,389,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,20.8807268620003,nan,nan,nan,nan,,operator memory=10.390 MiB
